"Family","PC1","PC2","PC3","PC4","Pop","Tree","State","Region","Date","Latitude","Longitude","Elevation","DBH","Budbreak_2020","BudSet_2019","BudSet_2020","Growth","BudBreak_cGDD_plasticity","BudSet_2019_plasticity","BudSet_2020_plasticity","Growth_plasticity","TotalDry_plasticity","RootShoot_plasticity","SideBranch_MainStem_plasticity","Delta13Carbon_plasticity","Delta15Nitrogen_plasticity","PercentN_plasticity","CN_ratio_plasticity","TotalDry","RootShoot","SideBranch_MainStem","delta13C","delta15N","percentN","CN_ratio","q1","q2"
"AB_05",-0.0703556154496303,0.0276024790089171,0.0321905543102324,0.013138840379321,"AB",5,"TN","Edge",9002016,35.55297,83.49438,1812,57.7,670.4007682,260.4725515,216.2607454,31.94204476,33.77472744,3.281426717,6.03330003,0.772146084,0.698387257,0.003919321,0.145303653,0.128500998,0.672268346,0.027578398,0.131739461,17.16048441,-1.626435071,0.839294953,-31.06793373,2.737846149,1.472223782,33.69596123,0.9997788,0.0002212
"AB_08",-0.0856812647355242,0.0262574110582848,-0.0629591591720418,-0.0212203653857345,"AB",8,"TN","Edge",9002016,35.55212,83.49259,1785,44.3,655.9363328,264.3363243,208.5373784,27.69785198,25.3766229,2.089081585,6.095964667,1.051508886,0.794951,0.004818993,0.157069596,0.002669917,0.817609575,0.028234383,0.161258836,18.81675855,-1.636492249,0.938505417,-30.83059449,2.264945711,1.468437881,34.58089388,0.9998072,0.0001927
"AB_12",-0.0694384163929652,0.0169995438614724,0.140333574349854,0.0893400260785877,"AB",12,"TN","Edge",9002016,35.5389,83.49463,1750,36.8,671.5476392,260.9483562,210.5047889,29.83355546,31.81158173,1.880066849,6.102996131,0.928820909,1.236645139,0.008873804,0.14302242,0.140836437,0.693263073,0.041594929,0.085419244,24.75261129,-1.616934624,0.847842397,-31.22716296,2.664819322,1.601809271,32.52051306,0.9998088,0.0001911
"AB_16",-0.0768541767953189,0.018455583537492,0.0569222179854126,0.00500287652617978,"AB",16,"TN","Edge",9002016,35.53882,83.49534,1738,44,669.2451988,260.8166378,217.5279451,32.1128428,32.09230931,3.052564771,5.918836014,0.800994534,1.05416036,0.007285772,0.127628937,0.053925536,0.712567761,0.030910358,0.116457959,22.26456852,-1.613489489,0.801467669,-30.92203705,2.544601561,1.492074294,33.32384338,0.9974707,0.0025292
"AB_18",-0.078891220977096,0.0328435601049584,-0.0566358024769189,-0.0206916395522792,"AB",18,"TN","Edge",9002016,35.53945,83.49375,1769,68.2,667.1322826,254.5455601,206.6304985,27.05407489,28.75006609,2.280391334,5.618308265,1.0798895,1.055418119,0.001047659,0.165702038,0.02254417,0.78670485,0.034099089,0.074784095,22.76682601,-1.661156333,0.943669007,-31.01964065,2.394368937,1.541060221,32.05574193,0.9997961,0.0002039
"ALB_01",0.0471310388770258,-0.0163006831379782,-0.0927658406899787,-0.0348251208804538,"ALB",1,"ME","Core",11112017,44.3067,70.84019,455,28.1,662.7843152,255.8231556,214.9980344,36.00254023,31.19193625,2.423570825,6.034570162,0.566627336,1.3892616,0.006374522,0.125348723,0.028113992,0.615032145,0.046127427,0.036081587,27.35118099,-1.609313881,0.783498574,-30.94722272,2.789581426,1.626031231,31.04703731,0.8635999,0.1364001
"ALB_02",0.0557296355201939,0.0108350112107631,-0.0181462637287584,0.0443726364441735,"ALB",2,"ME","Core",11112017,44.30564,70.84081,524,11.3,633.5354721,254.2984421,210.1536025,23.70967499,17.59579254,3.572087849,6.421147711,1.269227342,0.449519594,0.018993313,0.206540398,0.291110569,0.745516375,0.035588009,0.032828265,14.04148936,-1.605497187,1.04202355,-31.5404516,2.519755007,1.555441473,30.78796169,0.9104635,0.0895365
"ALB_03",0.0551942674839073,0.00861242690076532,-0.00161367568181547,-0.00820427954558696,"ALB",3,"ME","Core",11112017,44.30359,70.84096,523,19.9,658.5571786,259.583758,207.5204263,29.10098853,26.77841082,4.024590594,5.460598606,0.958425842,0.793177145,0.001532654,0.142522235,0.079197808,0.614396562,0.036981896,0.072331036,19.19112852,-1.619246519,0.863913438,-31.04222709,2.957201073,1.550213383,32.10116221,0.9086496,0.0913505
"ALB_05",0.0651378295044085,0.00691210337037684,-0.0243107820107256,0.0160749204819029,"ALB",5,"ME","Core",11112017,44.30182,70.83729,573,11.9,670.3139897,249.7492396,211.2457395,29.73756958,31.51688925,3.379507819,6.484551107,0.929522619,1.369899303,3.4972986797277e-05,0.13786476,0.027274183,0.710528953,0.035421467,0.096676718,26.74517105,-1.680223429,0.857754566,-30.72043187,2.553534461,1.535874884,32.77535314,0.9079545,0.0920455
"ALB_06",0.0549795217068413,-0.022882396136492,-0.0210502536854709,0.00621113687937969,"ALB",6,"ME","Core",11112017,44.30061,70.83641,589,12.3,662.8843332,249.6551293,205.4854875,28.32760618,29.38149909,3.34192413,5.680421457,0.995665973,1.371814758,0.007468055,0.165183273,0.116213293,0.727787995,0.037132084,0.077560566,26.40005258,-1.603984813,0.906173894,-31.08690723,2.531901748,1.562351532,32.16345462,0.8598167,0.1401833
"APP_01",0.0596635667131575,0.0209919405348236,0.0655481517212557,0.012108449639091,"APP",1,"VT","Core",9022017,44.20933,72.9295,743,6.3,664.3700999,248.0651167,209.4108528,23.95336806,28.64409215,2.06864458,5.749877111,1.277360118,0.62743817,0.015403478,0.129777596,0.118855578,0.731242282,0.036301069,0.058930577,15.70285339,-1.632179095,0.794944699,-31.14290368,2.549715376,1.551107341,31.59191783,0.9209794,0.0790205
"APP_02",0.0400764289067489,0.0253350498603465,-0.0510451660514577,-0.00502413477196506,"APP",2,"VT","Core",9022017,44.21172,72.92999,780,4.4,670.3856834,248.2654338,209.056391,32.24975951,28.71362211,3.524754037,5.407862744,0.771545192,2.168231155,0.005688868,0.129240316,0.139760745,0.708201253,0.042366805,0.041889465,37.81890847,-1.617309759,0.810021067,-31.11847027,2.645794816,1.620267923,31.08891359,0.9279955,0.0720045
"APP_03",0.0594382904039844,0.006070870894272,-0.0477507426800239,-0.00488936536900642,"APP",3,"VT","Core",9022017,44.22097,72.92639,896,9,662.4077106,253.5460071,209.298653,24.89828365,30.44247211,3.868304526,5.456978398,1.22358155,0.325356665,0.014236761,0.14607687,0.04101607,0.581991253,0.043706128,0.034522028,12.13418423,-1.574910411,0.839921675,-30.94552557,2.871672417,1.599160004,31.0286943,0.9090196,0.0909804
"APP_04",0.049670464516028,0.0319325599464029,-0.0255001597336513,0.00489080947349679,"APP",4,"VT","Core",9292017,44.2114,72.93122,741,9.3,660.5998531,236.9973042,208.2258463,24.7245051,29.88552598,3.701859681,5.803368219,1.231504116,0.793309361,0.006600907,0.141711326,0.063050433,0.785304611,0.030630027,0.107302005,18.67377627,-1.61110368,0.860722078,-31.00414421,2.371716935,1.488568723,33.11139131,0.9279701,0.0720299
"APP_05",0.061831643665696,0.0380813883625068,-0.0244857285558022,0.00150156869996869,"APP",5,"VT","Core",9272017,44.21034,72.93051,733,26.3,669.8419958,249.5620908,215.705183,29.28059963,32.57058043,2.576695412,6.848457221,0.952429641,1.232802035,0.008909026,0.140680498,0.050902379,0.725636851,0.030477973,0.124704486,26.11366621,-1.59997597,0.859383864,-30.98411346,2.47991063,1.516622607,33.44146225,0.9564363,0.0435637
"APP_06",0.0647968110943156,0.027191761043548,0.0541148435886807,0.0120629510689106,"APP",6,"VT","Core",9272017,44.21235,72.93502,658,25,637.4925208,248.3525648,216.4548854,33.72242576,17.94115904,2.831216289,5.977533488,0.694167818,1.318613394,0.008525605,0.121690916,0.11121358,0.84352397,0.047369597,0.023734811,25.59190299,-1.603856811,0.747645006,-30.5685416,2.253707354,1.64465974,30.69457096,0.9605021,0.0394979
"ASC_01",0.0410467097381574,-0.0187243997762278,-0.0516341340204596,0.0702201076164739,"ASC",1,"VT","Core",10162017,43.43787,72.45218,883,20,658.0603881,245.7520087,208.2627299,27.28979745,27.69697433,2.314971423,5.97914798,1.072285085,1.106643956,0.009549053,0.15069742,0.027793642,0.809881674,0.032652732,0.079340655,23.23296408,-1.633705976,0.86538851,-30.79256941,2.33678948,1.516791772,32.22117976,0.9008529,0.0991471
"ASC_02",0.0387204298751878,-0.00196089789800113,0.0120640863695419,0.0147215258175334,"ASC",2,"VT","Core",10162017,43.43983,72.45328,847,14.2,666.87305,247.2772859,213.126425,30.10948897,28.88133801,2.990406106,5.899196862,0.912028369,1.605416623,0.010392649,0.132663615,0.046735714,0.714421579,0.051780687,0.000417257,30.7758738,-1.609707866,0.817302976,-30.79152263,2.573417342,1.686432769,29.97354915,0.9043108,0.0956892
"ASC_03",0.0474877894018711,0.003228519967901,-0.00880117114458727,0.000665039045343981,"ASC",3,"VT","Core",10162017,43.44192,72.45589,861,26,652.6457698,262.3600096,208.8429741,25.65283147,24.86620916,2.312617759,5.843680874,1.149953936,0.589840382,0.000524336,0.17427564,0.164583976,0.641232255,0.045763088,0.030814801,16.08045728,-1.633752039,0.965935219,-31.36465647,2.868137763,1.624654491,30.86419849,0.9198807,0.0801193
"ASC_04",0.0389137794330417,-0.00746612051762532,0.00251359569374364,0.0125541213583532,"ASC",4,"VT","Core",10162017,43.4426,72.45713,870,19.5,653.253311,256.8545615,207.3261172,24.37070439,25.03947286,3.212762352,5.421559515,1.256408778,0.634615031,0.012460769,0.154423076,0.088889869,0.673560399,0.037114416,0.057939768,15.83805171,-1.622449491,0.908578782,-31.00455987,2.634257882,1.555783827,31.56655566,0.9091696,0.0908304
"ASC_05",0.0373023485716941,-0.0160720179828337,-0.000423195177357893,-0.00255535853513994,"ASC",5,"VT","Core",10162017,43.44376,72.45867,879,18.3,667.3543685,252.1961054,208.894889,27.45711379,31.56473355,4.024707151,5.8879757,1.078742799,0.867906365,0.006197401,0.153494807,0.004989792,0.776658578,0.036025563,0.098007349,19.65519152,-1.569844448,0.92095359,-30.89110977,2.510005064,1.535460778,32.81021657,0.8858684,0.1141316
"ASC_06",0.0499034277179252,-0.0140408833433761,0.0147165364339751,-0.0107400529720274,"ASC",6,"VT","Core",10162017,43.44379,72.45434,967,21.7,640.5469795,253.7959792,210.811664,25.54320295,18.63137973,1.730879931,6.199521105,1.161359305,0.363934935,0.003708584,0.174442029,0.289140496,0.768355637,0.042976078,0.020880215,12.68460364,-1.626546472,0.931178711,-32.19534352,2.497168821,1.612316435,30.56195179,0.8888271,0.1111729
"B_02",0.0583308534236964,0.0320588114550928,-0.00891225290434153,0.00420289316171081,"B",2,"VT","Core",2192016,44.10929,73.0714,311,NA,661.4661293,247.5376493,207.9699769,29.17313197,31.21966901,1.13203663,5.629387906,0.929594237,0.843818859,0.003117024,0.148425968,0.029313501,0.808720564,0.036537428,0.070654204,20.13416514,-1.668379423,0.797032364,-30.85358391,2.364022121,1.553032861,31.94732658,0.9477913,0.0522087
"B_03",0.0391832822743095,0.0575845897707596,0.00694133305552699,-0.00378529287965101,"B",3,"VT","Core",2192016,44.10897,73.0712,325,NA,667.7167745,246.8788777,210.9462394,28.26157063,32.01266115,3.634537404,5.972700362,1.014161987,0.534940259,0.00752012,0.142632456,0.017095348,0.763939026,0.04928354,0.019670542,14.9183629,-1.628351714,0.823035115,-30.91056613,2.450735882,1.650207512,30.55399062,0.9848391,0.0151609
